sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
30346743613,2021-01-04T21:47:00Z,61,21,13,27,40,64,0.10191082802547771
30330606033,2021-01-03T17:54:30Z,77,22,17,38,87,63,0.16188714153561518
30329362729,2021-01-01T17:45:30Z,72,21,16,35,71,63,0.11155378486055777
30300901225,2020-12-31T15:31:30Z,80,22,19,39,93,63,0.1313035204567079
30271552724,2020-12-30T07:30:30Z,76,18,19,39,92,64,0.14905450500556172
30271552723,2020-12-29T14:55:30Z,80,21,20,39,52,65,0.13028169014084506
30271552722,2020-12-28T14:41:00Z,74,21,19,34,58,65,0.1283987915407855
30271552721,2020-12-28T03:46:00Z,59,16,15,28,55,65,0.10377358490566038
30271552720,2020-12-27T14:13:30Z,73,18,19,36,71,66,0.1536189069423929
30271552719,2020-12-26T14:59:30Z,77,19,21,37,82,66,0.11096433289299867
30220401515,2020-12-25T13:03:30Z,72,19,17,36,93,65,0.11659807956104253
30194220527,2020-12-24T09:40:30Z,83,23,18,42,113,64,0.14540059347181009
30183030035,2020-12-23T09:59:30Z,80,21,20,39,65,66,0.1329608938547486
30171967028,2020-12-22T09:01:30Z,82,21,19,42,77,66,0.13879781420765028
30161139232,2020-12-21T13:33:30Z,78,22,18,38,85,66,0.12529550827423167
30160860970,2020-12-20T14:59:30Z,73,18,17,38,60,66,0.10727496917385944
30137069480,2020-12-19T12:40:30Z,82,22,19,41,90,68,0.13431269674711438
30125211778,2020-12-18T10:36:30Z,85,22,19,44,90,69,0.1405335068314899
30116345216,2020-12-17T03:50:00Z,65,19,18,28,46,67,0.08641975308641975
30100383134,2020-12-16T13:05:30Z,62,20,15,27,37,65,0.18160919540229886
30099227278,2020-12-16T04:02:00Z,51,12,12,27,30,65,0.11428571428571428
30084469237,2020-12-15T13:55:30Z,66,20,20,26,34,64,0.09812108559498957
30084359913,2020-12-15T04:37:00Z,67,21,18,28,44,64,0.0962800875273523
30065592383,2020-12-14T08:35:00Z,79,20,20,39,56,66,0.13885778275475924
30053253510,2020-12-13T11:27:30Z,88,22,21,45,87,68,0.11063094209161625
30039830599,2020-12-12T07:54:00Z,83,20,20,43,89,71,0.08886509635974305
29990296553,2020-12-08T10:58:30Z,78,21,19,38,84,69,0.12546125461254612
29979077616,2020-12-07T15:06:00Z,76,21,19,36,64,69,0.14526588845654995
29963837287,2020-12-06T11:11:30Z,73,18,19,36,90,67,0.13554987212276215
29951761474,2020-12-05T11:25:00Z,79,21,20,38,67,67,0.12303980699638119
29939426227,2020-12-04T11:17:30Z,87,21,20,46,99,68,0.11061552185548618
29923765602,2020-12-03T08:06:30Z,81,21,20,40,77,68,0.11723329425556858
29915279543,2020-12-02T13:26:30Z,65,17,20,28,18,67,0.10249307479224377
29910696545,2020-12-02T02:43:00Z,71,21,14,36,64,67,0.1403091557669441
29890114565,2020-11-30T14:14:30Z,81,21,19,41,78,68,0.1601685985247629
29890114564,2020-11-29T14:17:00Z,84,20,18,46,67,67,0.16110581506196378
29868433079,2020-11-28T13:22:30Z,87,22,19,46,105,68,0.13774104683195593
29853221140,2020-11-27T13:18:30Z,78,23,18,37,113,67,0.12048192771084337
29841944747,2020-11-26T09:28:30Z,75,20,19,36,93,69,0.12446958981612447
29841944746,2020-11-25T08:03:30Z,74,21,21,32,79,69,0.11647254575707154
29822080104,2020-11-24T04:42:00Z,64,17,20,27,55,68,0.11594202898550725
29804014702,2020-11-23T12:00:30Z,81,21,21,39,68,70,0.1273532668881506
29803097696,2020-11-22T13:54:00Z,74,19,18,37,87,70,0.17257142857142857
29779224099,2020-11-21T12:29:30Z,88,22,21,45,105,71,0.11353711790393013
29767680009,2020-11-20T10:36:00Z,69,20,21,28,37,71,0.09876543209876543
29767680008,2020-11-20T04:55:30Z,66,18,20,28,64,71,0.11561866125760649
29753996156,2020-11-19T06:19:00Z,68,16,22,30,56,71,0.08845577211394302
29737387219,2020-11-18T12:00:00Z,70,19,20,31,57,71,0.13566433566433567
29737294348,2020-11-18T04:18:30Z,52,16,14,22,62,71,0.15254237288135594
29709433605,2020-11-16T13:03:30Z,87,22,19,46,99,70,0.12850678733031673
29697431287,2020-11-15T09:57:30Z,77,21,20,36,79,70,0.14285714285714285
29685776750,2020-11-14T13:43:30Z,80,21,20,39,79,71,0.13942857142857143
29673939248,2020-11-13T14:37:30Z,80,22,20,38,90,73,0.11563731931668857
29671575091,2020-11-12T10:50:30Z,74,19,20,35,71,73,0.1308016877637131
29649139545,2020-11-11T12:22:00Z,75,19,19,37,80,73,0.17391304347826086
29634694226,2020-11-10T11:26:30Z,81,21,20,40,75,75,0.13736903376018628
29621843676,2020-11-09T12:08:30Z,79,21,16,42,96,73,0.17893660531697342
29607769781,2020-11-08T11:21:00Z,74,22,16,36,84,71,0.16643356643356644
29595445098,2020-11-07T12:45:30Z,88,23,19,46,122,70,0.11251125112511251
29585481064,2020-11-06T10:12:00Z,77,21,18,38,80,68,0.146163215590743
29568747698,2020-11-05T09:41:00Z,80,21,21,38,62,69,0.10630407911001236
29556220586,2020-11-04T10:09:30Z,85,20,19,46,109,69,0.1276794035414725
29544670652,2020-11-03T07:43:00Z,74,21,20,33,63,68,0.11912751677852348
29528771483,2020-11-02T09:54:30Z,83,22,19,42,86,71,0.14657666345226616
29515513576,2020-11-01T08:30:30Z,77,18,20,39,63,70,0.11538461538461539
29504861387,2020-10-31T09:14:30Z,61,20,12,29,46,68,0.1191806331471136
29492764936,2020-10-30T09:00:30Z,77,21,18,38,81,67,0.14223669923995658
29462470242,2020-10-28T08:13:30Z,76,19,19,38,89,68,0.1419828641370869
29444991595,2020-10-27T08:02:00Z,77,19,20,38,65,68,0.14022140221402213
29432103568,2020-10-26T11:44:30Z,81,22,18,41,98,69,0.20533070088845015
29418770985,2020-10-25T11:02:30Z,86,22,18,46,84,70,0.17063870352716873
29405574825,2020-10-24T08:55:30Z,76,21,17,38,69,68,0.1610978520286396
29393668871,2020-10-23T11:03:30Z,80,21,17,42,58,68,0.2017259978425027
29378427348,2020-10-22T07:27:30Z,73,19,18,36,51,68,0.16262135922330098
29366400127,2020-10-21T08:16:30Z,83,21,19,43,65,68,0.1256544502617801
29356041433,2020-10-20T08:12:00Z,65,21,16,28,48,67,0.12560386473429952
29341203007,2020-10-19T10:42:30Z,83,22,17,44,92,69,0.1899392888117953
29326145160,2020-10-18T06:07:30Z,77,21,20,36,62,68,0.12981455064194009
29315630749,2020-10-17T11:12:30Z,81,23,17,41,111,66,0.14945919370698132
29302905260,2020-10-16T10:30:30Z,81,22,18,41,106,67,0.1900990099009901
29294653360,2020-10-15T08:41:00Z,77,23,19,35,109,69,0.18331226295828065
29278741526,2020-10-14T08:16:30Z,78,20,20,38,81,68,0.1198501872659176
29263351126,2020-10-13T07:04:30Z,75,21,20,34,65,69,0.13940256045519203
29248551614,2020-10-12T08:11:30Z,69,20,18,31,71,71,0.19883040935672514
29232532977,2020-10-11T08:54:30Z,78,22,17,39,103,69,0.16490891658676893
29222519047,2020-10-10T10:31:30Z,69,19,16,34,44,68,0.13893129770992366
29208576527,2020-10-09T09:01:30Z,81,22,20,39,83,67,0.10484780157835401
29196769636,2020-10-08T08:12:30Z,72,18,21,33,54,68,0.12050078247261346
29185810956,2020-10-07T10:25:00Z,74,18,19,37,78,68,0.13670886075949368
29164964273,2020-10-06T08:19:30Z,64,21,17,26,41,67,0.18798151001540833
29124804306,2020-10-03T10:22:30Z,79,21,20,38,75,68,0.1488673139158576
29111758226,2020-10-02T08:13:30Z,80,22,19,39,89,70,0.14238042269187987
29099957287,2020-10-01T06:58:30Z,69,21,15,33,55,69,0.19940029985007496
29056912929,2020-09-28T06:25:00Z,78,22,18,38,83,67,0.15498154981549817
29046356548,2020-09-27T09:49:30Z,79,21,18,40,73,67,0.17735849056603772
29033564406,2020-09-26T08:01:30Z,78,20,20,38,94,67,0.11484290357529794
29021954162,2020-09-25T09:15:30Z,83,21,17,45,86,65,0.1302367941712204
29009750612,2020-09-24T08:37:30Z,77,22,15,40,106,63,0.15518913676042678
28995520522,2020-09-23T05:14:30Z,70,21,15,34,47,64,0.17890520694259013
28982235712,2020-09-22T07:52:30Z,69,21,18,30,55,64,0.13616398243045388
28966507679,2020-09-21T08:02:30Z,72,18,18,36,74,69,0.20689655172413793
